8,0.1,5,0.11122,87.937
96,0.4,10,2.8632,70.035
64,0.4,20,3.5236,70.461
64,0.1,15,2.423,73.959
8,0.1,25,0.45387,79.768
32,0.4,25,2.1117,71.65
64,0.2,20,3.0169,72.926
4,0.2,15,0.16433,87.043
96,0.6,5,1.5972,70.108
16,0.6,10,0.50601,75.89
4,0.2,15,0.13487,83.833
32,0.4,5,0.52347,77.122
48,0.2,15,1.7194,74.68
4,0.4,15,0.12634,86.176
64,0.6,15,2.4887,70.777
64,0.1,5,0.84341,76.149
32,0.1,30,2.3204,74.229
96,0.4,25,5.5179,69.666
64,0.6,20,3.0985,69.779
32,0.4,10,0.89078,73.841
64,0.1,15,2.059,74
8,0.4,10,0.20826,82.487
64,0.6,30,4.3722,68.84
8,0.4,10,0.2316,80.237
16,0.4,5,0.23947,80.65
8,0.6,10,0.25095,77.659
96,0.1,30,6.2667,71.302
4,0.4,20,0.19656,83.116
64,0.6,10,1.7216,71.017
48,0.2,30,3.1188,71.396
4,0.2,20,0.18071,82.348
64,0.2,5,0.91718,73.451
48,0.4,15,1.6843,73.038
32,0.1,5,0.39859,79.117
8,0.1,10,0.17495,85.544
8,0.4,30,0.58293,77.393
16,0.2,30,1.1486,75.884
48,0.1,15,1.8065,74.252
16,0.1,10,0.29929,82.08
16,0.2,5,0.23182,83.264
48,0.4,15,1.6948,72.979
16,0.4,20,0.81238,74.052
96,0.6,15,3.5279,69.428
4,0.4,15,0.13669,84.808
16,0.1,25,0.80334,78.445
32,0.4,30,2.3717,70.476
4,0.4,10,0.095341,87.325
8,0.2,10,0.16793,85.846
48,0.4,10,1.2611,71.808
48,0.1,30,3.1808,72.569
8,0.6,20,0.4304,76.803
48,0.1,10,1.1699,76.263
64,0.2,10,1.5626,72.785
16,0.1,30,0.82833,78.634
96,0.2,10,2.279,70.463
48,0.4,30,3.0691,69.679
96,0.4,5,1.3689,71.332
64,0.1,10,1.4659,74.98
48,0.6,25,2.8719,69.601
32,0.1,20,1.3705,77.174
96,0.2,30,6.4853,69.305
64,0.6,30,4.3104,68.671
8,0.2,30,0.49011,81.07
16,0.1,20,0.58233,81.213
64,0.4,25,3.6394,69.939
96,0.1,25,4.6713,72.094
64,0.1,10,1.5924,75.608
8,0.2,30,0.47143,80.613
32,0.1,10,0.77846,78.014
8,0.4,30,0.57526,76.66
8,0.6,25,0.54171,75.511
64,0.2,30,4.2679,71.571
96,0.1,5,1.2539,73.862
4,0.6,30,0.34477,78.053
8,0.2,20,0.33102,82.345
96,0.1,30,6.0413,70.751
16,0.6,25,1.0063,73.201
4,0.1,15,0.13715,84.536
64,0.2,5,0.90283,76.252
8,0.1,15,0.22502,85.278
48,0.4,20,2.2543,70.805
96,0.2,20,4.3902,70.265
96,0.4,15,3.3193,69.554
32,0.4,25,1.8257,71.21
32,0.6,10,0.87555,73.841
96,0.4,20,4.2389,70.15
96,0.2,10,2.3559,71.809
48,0.2,10,1.223,74.713
4,0.1,20,0.16379,86.178
32,0.2,30,2.3291,72.736
4,0.1,25,0.22409,81.558
64,0.4,30,4.4172,69.518
64,0.6,25,3.9092,69.307
96,0.2,5,1.364,72.779
16,0.6,10,0.47666,76.35
96,0.4,10,2.4654,70.504
32,0.2,15,1.1293,73.985
96,0.6,20,4.6043,69.139
64,0.2,20,2.6381,72.696
32,0.2,20,1.5974,75.139
8,0.1,25,0.38772,81.128
48,0.2,20,2.1981,72.111
32,0.6,30,2.3631,70.162
32,0.6,20,1.5899,71.69
32,0.6,25,1.8532,71.722
64,0.6,15,2.3586,70.618
64,0.2,25,3.5481,71.684
64,0.2,30,3.7655,71.588
48,0.1,5,0.60702,77.875
4,0.6,10,0.13398,82.052
96,0.2,5,1.304,73.327
48,0.2,5,0.72044,78.008
4,0.2,20,0.17653,84.762
48,0.6,5,0.76117,72.269
96,0.2,25,5.2142,70.915
16,0.4,10,0.47327,77.548
48,0.6,15,1.8336,70.912
4,0.2,25,0.25284,82.975
64,0.2,10,1.6194,73.329
8,0.4,25,0.52474,76.868
32,0.2,5,0.43853,79.244
48,0.6,5,0.73964,74.244
8,0.6,30,0.65784,75.147
96,0.1,15,3.0866,73.037
96,0.6,30,6.2681,68.516
32,0.1,5,0.42594,79.947
16,0.1,30,0.84752,79.917
8,0.2,10,0.16431,86.134
32,0.1,20,1.3073,75.771
4,0.6,15,0.19224,80.79
48,0.1,20,2.4107,74.48
4,0.2,5,0.050935,92.355
16,0.2,10,0.40797,79.966
16,0.6,20,0.88258,73.956
8,0.1,15,0.26214,81.08
96,0.2,25,4.7451,71.252
16,0.4,10,0.44825,75.937
16,0.2,10,0.4145,80.204
16,0.6,30,1.1503,72.514
16,0.1,25,0.8249,80.121
8,0.4,15,0.32472,78.109
48,0.2,10,1.1222,73.921
64,0.6,10,1.9092,69.862
64,0.2,25,3.7212,72.257
48,0.4,5,0.78799,74.051
16,0.1,5,0.18426,85.509
4,0.2,25,0.24213,81.98
4,0.4,20,0.18783,81.907
48,0.6,10,1.3253,70.771
48,0.6,20,2.4408,69.872
48,0.1,10,1.0637,75.785
32,0.2,5,0.45898,77.454
4,0.1,15,0.1423,86.622
64,0.6,5,1.0882,71.42
48,0.2,5,0.70426,75.945
4,0.4,10,0.10127,84.798
96,0.1,5,1.1837,75.138
8,0.1,30,0.49979,80.545
48,0.1,20,2.3676,73.557
96,0.4,25,5.6146,68.89
32,0.6,15,1.1935,71.831
8,0.4,25,0.53922,76.593
64,0.4,25,3.4868,70.657
96,0.6,30,6.8148,67.972
32,0.6,30,2.1982,71.721
4,0.1,5,0.051628,94.764
16,0.1,20,0.5489,82.368
64,0.1,30,3.7369,72.877
96,0.4,30,6.0176,70.05
32,0.1,10,0.73692,77.864
8,0.2,25,0.48085,79.815
16,0.6,25,0.99889,73.459
48,0.2,30,3.2089,71.615
64,0.6,25,3.6864,69.48
96,0.6,20,4.5242,68.858
16,0.4,15,0.7008,75.288
16,0.2,25,0.9649,76.486
32,0.6,15,1.2068,72.607
96,0.4,5,1.5275,72.227
48,0.2,15,1.7889,73.68
64,0.1,25,3.4681,71.846
4,0.2,10,0.098894,88.787
8,0.4,20,0.41896,78.398
4,0.6,20,0.24698,78.215
16,0.6,15,0.63496,74.362
16,0.2,5,0.23153,82.526
4,0.6,5,0.074636,84.658
48,0.2,25,2.5128,72.928
4,0.1,10,0.091399,85.592
4,0.1,5,0.058372,93.525
96,0.4,15,3.6301,70.002
48,0.4,25,2.8686,71.296
32,0.2,25,1.9261,73.696
32,0.1,25,1.936,73.171
