4,0.1,5,0.17825,0.079331,0.14083,0.068702,0.063564,0.067717,0.06324,0.046495,0.049248,0.069277
4,0.1,10,0.13815,0.1331,0.10246,0.12704,0.086201,0.071663,0.091874,0.15943,0.068538,0.097635
4,0.1,15,0.1826,0.17015,0.11423,0.1625,0.099779,0.12526,0.15791,0.26256,0.1186,0.28399
4,0.1,20,0.10453,0.13567,0.3795,0.21339,0.16331,0.132,0.15216,0.12377,0.24681,0.30521
4,0.1,25,0.22296,0.2135,0.24813,0.23804,0.25809,0.20935,0.24366,0.15936,0.15204,0.20433
4,0.1,30,0.24157,0.29796,0.46053,0.1731,0.32587,0.33127,0.29032,0.32581,0.17204,0.35034
4,0.2,5,0.072022,0.059225,0.058614,0.064846,0.057217,0.040835,0.084378,0.051175,0.05836,0.061385
4,0.2,10,0.084115,0.064418,0.11264,0.18068,0.14097,0.062873,0.14778,0.13115,0.16623,0.20234
4,0.2,15,0.1636,0.14697,0.1658,0.13554,0.095831,0.27777,0.13668,0.085139,0.19703,0.14383
4,0.2,20,0.13186,0.21235,0.29349,0.17145,0.12201,0.21586,0.13812,0.20176,0.19393,0.12552
4,0.2,25,0.18117,0.30119,0.25528,0.18224,0.21401,0.218,0.23209,0.34668,0.2175,0.14204
4,0.2,30,0.29422,0.21574,0.32411,0.29127,0.18868,0.18024,0.32046,0.35827,0.19924,0.28115
4,0.4,5,0.037688,0.040491,0.041274,0.11033,0.038504,0.069716,0.040552,0.039311,0.070498,0.046721
4,0.4,10,0.064331,0.063389,0.082837,0.081411,0.11032,0.090457,0.14077,0.141,0.10267,0.063058
4,0.4,15,0.10191,0.12693,0.18113,0.098555,0.088362,0.094176,0.16067,0.22703,0.091127,0.12057
4,0.4,20,0.2772,0.40952,0.15958,0.14686,0.16803,0.15399,0.36122,0.20786,0.3215,0.29673
4,0.4,25,0.2106,0.24629,0.29368,0.29554,0.17136,0.12966,0.22027,0.16734,0.30626,0.29768
4,0.4,30,0.16949,0.17324,0.17693,0.29773,0.236,0.17937,0.22676,0.17329,0.17389,0.22623
4,0.6,5,0.070072,0.1021,0.045815,0.075749,0.047024,0.087711,0.093718,0.056845,0.049981,0.11382
4,0.6,10,0.30533,0.1268,0.14309,0.16252,0.13804,0.15035,0.11681,0.076855,0.21601,0.09373
4,0.6,15,0.17371,0.23596,0.21489,0.32977,0.23716,0.22419,0.18977,0.17748,0.1404,0.16667
4,0.6,20,0.15437,0.18499,0.30885,0.16195,0.21027,0.17022,0.19467,0.18775,0.25692,0.22126
4,0.6,25,0.21434,0.22905,0.16038,0.2714,0.29345,0.21746,0.19718,0.24892,0.29886,0.44157
4,0.6,30,0.38174,0.23317,0.38262,0.55733,0.35605,0.37398,0.20345,0.24964,0.25043,0.34541
8,0.1,5,0.17178,0.075878,0.076525,0.087304,0.073811,0.087181,0.078795,0.11794,0.21612,0.073905
8,0.1,10,0.21642,0.21655,0.17394,0.25692,0.16195,0.13308,0.13712,0.11901,0.26636,0.12117
8,0.1,15,0.19248,0.17931,0.24929,0.18247,0.16285,0.18192,0.35348,0.309,0.32082,0.18102
8,0.1,20,0.22841,0.55058,0.27384,0.22607,0.22818,0.47244,0.28629,0.20463,0.23099,0.21256
8,0.1,25,0.38991,0.34164,0.35566,0.29456,0.53892,0.4465,0.39595,0.51254,0.49004,0.26587
8,0.1,30,0.33999,0.3149,0.34711,0.32089,0.7033,0.63811,0.41388,0.46597,0.3418,0.31558
8,0.2,5,0.07829,0.13282,0.13586,0.07632,0.084761,0.076162,0.075373,0.080984,0.075234,0.1625
8,0.2,10,0.25368,0.20393,0.12065,0.15019,0.18083,0.12415,0.16356,0.13572,0.26562,0.1251
8,0.2,15,0.17446,0.22036,0.16884,0.32512,0.22294,0.1721,0.17861,0.16959,0.19842,0.16747
8,0.2,20,0.51993,0.34177,0.28723,0.21671,0.22402,0.21996,0.43301,0.3928,0.34707,0.22416
8,0.2,25,0.55679,0.40102,0.36672,0.68688,0.43041,0.62364,0.32324,0.51042,0.27295,0.26155
